,Date,AAPL,GOOG,IBM,JNJ,K,KO,MSFT,NFLX
0,2018-07-02,184.37,1127.46,133.47,118.41,67.05,42.34,98.41,398.18
1,2018-07-03,181.16,1102.89,133.19,119.51,66.79,42.57,97.47,390.52
2,2018-07-05,182.62,1124.27,134.96,121.74,68.91,43.22,98.17,398.39
3,2018-07-06,185.15,1140.17,135.97,122.47,69.19,43.2,99.54,408.25
4,2018-07-09,187.72,1154.05,137.79,122.76,67.88,42.97,100.22,418.97
5,2018-07-10,187.5,1152.84,138.09,124.06,68.04,43.52,100.49,415.63
6,2018-07-11,185.06,1153.9,138.31,122.95,67.75,43.34,100.35,418.65
7,2018-07-12,188.17,1183.48,139.75,124.43,68.08,43.23,102.53,413.5
8,2018-07-13,188.46,1188.82,139.23,122.65,68.55,43.3,103.75,395.8
9,2018-07-16,188.05,1183.86,138.81,121.44,68.0,43.29,103.23,400.48
10,2018-07-17,188.58,1198.8,136.93,125.74,68.05,43.79,104.26,379.48
11,2018-07-18,187.55,1195.88,137.91,124.47,66.43,43.66,103.44,375.13
12,2018-07-19,189.0,1186.96,142.42,122.66,67.04,43.65,102.73,364.23
13,2018-07-20,188.57,1184.91,139.66,122.57,67.62,43.82,104.57,361.05
14,2018-07-23,188.74,1205.5,139.04,123.33,67.29,43.5,106.24,362.66
15,2018-07-24,190.11,1248.08,139.69,125.99,67.6,43.8,105.94,357.32
16,2018-07-25,191.9,1263.7,139.92,125.27,68.25,44.6,109.06,362.87
17,2018-07-26,191.3,1268.33,140.0,126.88,68.28,44.75,107.87,363.09
18,2018-07-27,188.12,1238.5,138.51,128.12,68.78,44.72,105.96,355.21
19,2018-07-30,187.06,1219.74,138.84,128.72,68.71,44.74,103.69,334.96
20,2018-07-31,187.44,1217.26,138.3,129.06,68.42,45.12,104.38,337.45
21,2018-08-01,198.48,1220.01,136.94,129.18,66.88,44.89,104.58,338.38
22,2018-08-02,204.28,1226.15,136.42,127.83,67.31,44.69,105.85,344.5
23,2018-08-03,204.87,1223.71,140.95,128.51,69.5,45.12,106.31,343.09
24,2018-08-06,205.94,1224.77,139.35,128.58,69.55,45.14,106.4,350.92
25,2018-08-07,204.0,1242.22,140.29,128.03,69.26,45.0,107.14,351.83
26,2018-08-08,204.14,1245.61,140.17,127.75,68.4,44.66,107.74,347.61
27,2018-08-09,205.75,1249.1,139.64,127.78,68.68,44.85,107.92,349.36
28,2018-08-10,205.14,1237.61,139.36,127.34,68.76,44.59,107.26,345.87
29,2018-08-13,206.46,1235.01,137.66,126.82,68.4,44.35,106.48,341.31
30,2018-08-14,207.33,1242.1,138.28,126.12,68.88,44.41,107.81,337.49
31,2018-08-15,207.81,1214.38,138.81,127.03,69.45,44.59,106.35,326.4
32,2018-08-16,210.86,1206.49,140.19,129.03,70.03,44.73,106.33,322.44
33,2018-08-17,215.07,1200.96,140.89,130.96,70.92,45.1,106.27,316.78
34,2018-08-20,212.97,1207.77,141.32,133.31,71.01,45.22,105.57,327.73
35,2018-08-21,212.56,1201.62,140.8,131.82,69.57,44.73,104.69,338.02
36,2018-08-22,212.57,1207.33,140.1,131.1,69.49,44.45,105.75,344.44
37,2018-08-23,213.0,1205.38,140.22,131.59,69.46,44.22,106.25,339.17
38,2018-08-24,213.67,1220.65,140.87,132.41,69.79,44.16,107.08,358.82
39,2018-08-27,215.43,1241.82,141.5,132.28,69.37,44.22,108.26,364.58
40,2018-08-28,217.16,1231.15,141.4,131.69,68.84,43.91,108.92,368.49
41,2018-08-29,220.41,1249.3,142.32,132.22,69.17,43.87,110.65,368.04
42,2018-08-30,222.43,1239.12,140.76,132.31,69.11,43.5,110.59,370.98
43,2018-08-31,225.0,1218.19,141.29,132.05,69.7,43.13,110.96,367.68
44,2018-09-04,225.72,1197.0,140.52,131.1,69.81,43.32,110.35,363.6
45,2018-09-05,224.25,1186.48,141.47,133.2,70.58,43.92,107.17,341.18
46,2018-09-06,220.53,1171.44,141.21,134.19,71.5,44.29,107.41,346.46
47,2018-09-07,218.75,1164.83,140.3,134.63,71.93,44.24,106.89,348.68
48,2018-09-10,215.81,1164.64,140.49,134.52,71.86,44.57,108.05,348.41
49,2018-09-11,221.27,1177.36,141.3,135.8,71.32,44.53,109.88,355.93
50,2018-09-12,218.52,1162.82,141.38,136.63,72.28,44.75,110.35,369.95
51,2018-09-13,223.8,1175.33,143.68,137.15,72.62,44.73,111.53,368.15
52,2018-09-14,221.26,1172.53,143.08,136.76,72.66,44.88,111.99,364.56
53,2018-09-17,215.37,1156.05,142.7,137.22,72.52,45.21,110.77,350.35
54,2018-09-18,215.72,1161.22,143.3,137.79,71.22,44.83,111.83,367.65
55,2018-09-19,215.85,1171.09,143.78,137.71,70.29,44.85,110.34,366.96
